totalRescued,weight
109,2.151632827164
57,2.488784822016
127,1.0
181,1.557073471631
138,1.837301994813
118,2.303652963803
109,1.637080356
75,1.351310841748
103,1.339549333369
139,0.0
135,1.0
189,1.0
161,2.260149617602
150,1.864583676406
80,1.0
101,2.072066854632
144,0.0
119,1.0
170,1.0
168,1.832647060022
132,0.0
169,1.494529863555
171,1.489633257794
124,1.522695897488
128,1.0
152,1.0
176,1.0
171,0.0
150,1.0
177,2.148738118044
176,0.0
104,1.0
126,1.0
118,1.355411879269
68,1.0
167,1.0
143,3.304340646414
168,2.289681000658
141,1.831532483398
170,1.0
182,1.0
98,1.309329541657
122,0.0
156,1.695764247927
114,1.0
105,1.451566677289
102,1.0
154,1.0
155,1.944600245692
143,1.517021400303
172,0.0
128,1.721735403535
120,1.0
153,1.0
143,1.0
178,1.464382172919
86,1.0
166,1.0
89,1.0
149,1.0
144,1.80749698862
100,1.783268189397
146,1.0
169,2.602649590002
170,1.0
171,1.0
152,1.0
123,2.188367995555
55,2.46532632485
100,0.0
147,1.512525406005
99,1.984229721124
112,1.0
139,2.093382162078
164,1.460851650619
65,1.0
140,1.527425804116
110,1.0
87,1.0
66,1.57823783337
159,2.016870001972
